session_id,graph_id,time_stamp,src,dst,src_feat,dst_feat,edge_attr,label
0,0,0,0,1,person,shoe,looking_at,0
0,0,0,1,0,shoe,person,in_front_of,0
0,1,1,0,1,person,shoe,holding,0
0,1,1,1,0,shoe,person,in_front_of,0
0,1,1,0,2,person,floor,standing_on,0
0,1,1,2,0,floor,person,beneath,0
0,2,2,0,1,person,shoe,not_contacting,0
0,2,2,1,0,shoe,person,on_the_side_of,0
0,2,2,0,2,person,floor,standing_on,0
0,2,2,0,2,person,floor,looking_at,0
0,2,2,2,0,floor,person,standing_on,0
0,3,3,0,1,person,shoe,not_looking_at,0
0,3,3,1,0,shoe,person,in_front_of,0
0,3,3,0,1,person,shoe,not_contacting,0
1,0,0,0,1,person,medicine,looking_at,1
1,0,0,0,1,person,medicine,holding,1
1,0,0,1,0,medicine,person,in_front_of,1
1,1,1,0,1,person,medicine,looking_at,1
1,1,1,0,1,person,medicine,holding,1
1,1,1,1,0,medicine,person,in_front_of,1
1,1,1,0,2,person,cup,looking_at,1
1,1,1,2,0,cup,person,in_front_of,1
1,2,2,0,1,person,medicine,looking_at,1
1,2,2,0,1,person,medicine,holding,1
1,2,2,1,0,medicine,person,in_front_of,1
1,2,2,0,2,person,cup,looking_at,1
1,2,2,0,2,person,cup,holding,1
1,2,2,2,0,cup,person,in_front_of,1
1,3,3,0,1,person,medicine,looking_at,1
1,3,3,0,1,person,medicine,holding,1
1,3,3,1,0,medicine,person,in_front_of,1
1,3,3,0,2,person,cup,not_looking_at,1
1,3,3,0,2,person,cup,holding,1
1,3,3,2,0,cup,person,in_front_of,1
1,4,4,0,1,person,medicine,looking_at,1
1,4,4,0,1,person,medicine,holding,1
1,4,4,1,0,medicine,person,in_front_of,1
1,4,4,0,2,person,cup,looking_at,1
1,4,4,2,0,cup,person,in_front_of,1
1,4,4,0,2,person,cup,drink_from,1
2,0,0,0,1,person,dish,looking_at,2
2,0,0,0,1,person,dish,not_contacting,2
2,0,0,1,0,dish,person,in_front_of,2
2,0,0,0,2,person,table,looking_at,2
2,0,0,0,2,person,table,not_contacting,2
2,0,0,2,0,table,person,in_front_of,2
2,0,0,0,3,person,cup,looking_at,2
2,0,0,0,3,person,cup,not_contacting,2
2,0,0,3,0,cup,person,in_front_of,2
2,1,1,0,1,person,table,not_looking_at,2
2,1,1,1,0,table,person,in_front_of,2
2,1,1,0,1,person,table,not_contacting,2
2,1,1,0,2,person,cup,looking_at,2
2,1,1,2,0,cup,person,in_front_of,2
2,1,1,0,2,person,cup,touching,2
3,0,0,0,1,person,refrigerator,not_contacting,3
3,0,0,1,0,refrigerator,person,in_front_of,3
3,0,0,0,1,person,refrigerator,looking_at,3
3,1,1,0,1,person,refrigerator,looking_at,3
3,1,1,1,0,refrigerator,person,in_front_of,3
3,1,1,0,1,person,refrigerator,holding,3
3,2,2,0,1,person,refrigerator,looking_at,3
3,2,2,1,0,refrigerator,person,in_front_of,3
3,2,2,0,1,person,refrigerator,touching,3
4,0,0,0,1,person,broom,looking_at,4
4,0,0,1,0,broom,person,in_front_of,4
4,0,0,0,1,person,broom,not_contacting,4
4,1,1,0,1,person,broom,looking_at,4
4,1,1,1,0,broom,person,on_the_side_of,4
4,1,1,0,1,person,broom,holding,4
4,2,2,0,1,person,broom,not_looking_at,4
4,2,2,1,0,broom,person,in_front_of,4
4,2,2,0,1,person,broom,holding,4
5,0,0,0,1,person,floor,lying_on,5
5,0,0,1,0,floor,person,behind,5
5,0,0,0,2,person,pillow,not_looking_at,5
5,0,0,2,0,pillow,person,above,5
5,0,0,0,2,person,pillow,lying_on,5
5,0,0,0,3,person,blanket,not_looking_at,5
5,0,0,0,3,person,blanket,covered_by,5
5,1,1,0,1,person,floor,not_looking_at,5
5,1,1,0,1,person,floor,lying_on,5
5,1,1,1,0,floor,person,behind,5
5,1,1,0,2,person,pillow,not_looking_at,5
5,1,1,2,0,pillow,person,above,5
5,1,1,0,2,person,pillow,lying_on,5
5,1,1,0,3,person,blanket,not_looking_at,5
5,1,1,0,3,person,blanket,covered_by,5
5,1,1,0,3,person,blanket,in,5
6,0,0,0,1,person,food,not_looking_at,6
6,0,0,1,0,food,person,in_front_of,6
6,0,0,0,1,person,food,not_contacting,6
6,0,0,0,2,person,sofa,sitting_on,6
6,0,0,2,0,sofa,person,beneath,6
6,1,1,0,1,person,food,looking_at,6
6,1,1,1,0,food,person,in_front_of,6
6,1,1,0,1,person,food,holding,6
6,1,1,0,2,person,sofa,not_looking_at,6
6,1,1,0,2,person,sofa,sitting_on,6
6,1,1,2,0,sofa,person,beneath,6
